NAME;DESCRIPTION
019RN;Goro’s attacked, Ryo is QTE ambushed by five people.
01AYU;End of cutscene where Gui Zhang teaches Ryo a move
01BEDA;Bad ending: Lan Di returns to Hazuki Residence (all disks)
01BEDB;Bad Ending: Shenhua warning (all disks)
01BEDB;Bad ending: Shenhua warning (all disks)
01BIKE;Ryo asks for Naoyuki’s bike at Sakuragaoka.
01BIKEB;“I wish” song cutscene: “Thanks for saving me.”
01BNK;“Guess Hong Kong’s out.”
01BTU;Nozomi brings flowers to Ryo’s house
01BUS;Japanese text, no need to edit (Found on all disks)
01BUS;Japanese text, no need to edit (all disks)
01CAT1;Ryo finds Megumi with the kitten
01CAT3;Kitten’s leg is healed
01CAU;Ryo talks with Chen & Gui Zhang about the Long Zha
01CAUA;Ryo gets his wage and also gets a warning letter from Gui Zhang
01CBK;End of the Charlie bikes QTE, Lan Di’s still on Amihama
01CJP;Yamanose Shrine’s kitten is finally healed, jumps from the shrine
01CRA;Some bikers are terrorizing the old homeless at the harbor.
01CTS;QTE where you chase Tony/Smith for questions about Long Zha.
01CTSA;End of the QTE chase, Tony’s got caught and talks about Long Zha.
01CTSB;End of the QTE chase, Smith’s got caught and talks about Long Zha.
01DIS;Ryo shows the Mirror to Fuku-san, he thinks Ryo’s possessed
01EAR;Ryo asks Ine-san some money for the Hong Kong trip
01ETU;Ryo tries to talk with Asia Travel Co.‘s girl
01FRE;Fuku-san’s friends are worried about Ryo
01FRO;Two security guards kick the homeless guy out of a warehouse
01FULB;Nozomi cries because of her mother (all disks)
01FULB;Nozomi cries because of her mother / she has to leave (all disks)
01FULB;Nozomi cries because of her mother / she has to leave. (all disks)
01GAK;Naoyuki and Ichiro go to Ryo’s house to see him
01GAR;Goro and his pal distract a guard so Ryo can get inside a warehouse
01GET;Ine-san mentions that Nozomi’s missing, Chai calls Ryo to harbor
01GHO;Goro and Mai talk about getting married.
01GMO;Subtitles related to waking up and going to work.
01GOHA;Ryo asks Goro for help so he can find a job.
01GOJ;Ryo tries to ask Goro about the Mad Angels, he tries to get away.
01GORA;Goro and Mai tell Ryo they found him a job.
01HIS;Mai asks some money from Hisaka-san, she refuses
01HOK;Ryo shows Xia-san the Phoenix Mirror, talking about stars
01HOK;Ryo shows Xia-san the mirror, talking about stars (disks 2 & 3)
01INY;Ryo shows Yamagishi-san the Phoenix Mirror
01INY;Ryo shows Yamagishi-san the Phoenix Mirror. (disks 2 & 3)
01JIB;Fuku-san is worried about Ryo (they talk), after QTE Chase (Jimmy)
01JIM;QTE when chasing Jimmy on Dobuita
01JIMB;Beginning of the QTE chase against Jimmy
01JIN;Nozomi’s asking for a wish at the Yamanose Shrine.
01JUCE;Subtitles of the soda drinking cutscene (all disks)
01JUCEA- Wang asks Ryo for a drink, Ryo asks him about the Chinese letter
01KAK;Ryo tells Fuku-san that he has a lead on the chinese cartel
01KEI;Ryo shows Oishi-san the Phoenix Mirror
01KOZ;Game start, Ine-san gives the first allowance to Ryo (disks 1 & 2)
01KOZ;Game start, Ine-san gives the first allowance to Ryo. (disks 1 & 2)
01KUB;Ryo’s fired from Alpha Trading Office.
01LET;Ryo finds Iwao Hazuki’s farewell letter
01LFT;Free Fight ambush of many thugs
01MAD;Two Mad Angels throw Mark’s lunch to the sea, Ryo intervenes
01MAK;Ryo meets Yada-san and Mark, start of the forklift tutorial.
01MEM;Ryo talks with Fuku-san about Iwao’s farewell letter
01MIR;Ine-san tells Ryo that Iwao left something at the antique shop
01MIR;Ine-san tells Ryo that Iwao left something at the antique shop.
01MIT;Ryo talks with owner of Global Travel Agency about a Hong Kong trip
01MKB;Mark takes second beating, tells Ryo his brother was murdered
01MKJ;Mark tells Ryo that the Long Zha will take place soon.
01MON;Fuku-san shares his money with Ryo and tells him about cheap ticket
