Character Name;ID;Model Name;Major Location;Major Store;BIO                              |
 Akemi Sato ; AKMI ; HOS_L; Dobuita; Bar Yokosuka ; [Akemi Sato ](http://shenmue.neoseeker.com/wiki/Akemi_Sato);
 Akihiro Ishida ; ISDA ; JMC_L;Harbor;Outside Worker; [Akihiro Ishida ](http://shenmue.neoseeker.com/wiki/Akihiro_Ishida) ;
 Akihisa Shigematsu ;; NVC_S;Harbor;Mad Angels; [Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels#Mad_Angels_Members) ;
 Akihito Anzai; TKNB ; PAN_L; Dobuita;Residence ; [Akihito Anzai ](http://shenmue.neoseeker.com/wiki/Akihito_Anzai) ;
Akiim Chant ; HDEI ; SGN_L;Harbor;Outside Worker; [Akiim Chant ](http://shenmue.neoseeker.com/wiki/Akiim_Chant) ;
 Akio Enoki ; ENKI ; YAA_L; Dobuita; Outside Gang Leader; [Akio Enoki ](http://shenmue.neoseeker.com/wiki/Akio_Enoki);
 Akira Fujiwara ;; NBQ_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Akira Nagai ; NGAI ; ZZE_L; Dobuita; Nagai Industries ; [Akira Nagai ](http://shenmue.neoseeker.com/wiki/Akira_Nagai) ;
Arihiro Sato; SATO ; OYB_L; Dobuita;Residence ; [Arihiro Sato ](http://shenmue.neoseeker.com/wiki/Arihiro_Sato) ;
 Atsushi Kuwata ;; CVO_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
 Atsushi Sayama ; FLD7 ; FLG_L; Dobuita;Forklift Operator ; [Atsushi Sayama ](http://shenmue.neoseeker.com/wiki/Atsushi_Sayama) ;
Azusa Kayama; KYMA ; SHE_L;Harbor; Alpha Trading Office ; [Azusa Kayama ](http://shenmue.neoseeker.com/wiki/Azusa_Kayama) ;
Bob Dickson ; BOB_ ; BOB_L;Harbor;70 Man Battle ; [Bob Dickson ](http://shenmue.neoseeker.com/wiki/Bob_Dickson) ;
Bukichi Itoi; ITOI ; WAP_L; Dobuita;Mary's Patches and Embrodiery ; [Bukichi Itoi ](http://shenmue.neoseeker.com/wiki/Bukichi_Itoi) ;
Cat (black) ; CATC ; CT3_M;;;;
 Cathy Wilkins; KYAS ; KYS_L; Dobuita;Walking Around; [Cathy Wilkins ](http://shenmue.neoseeker.com/wiki/Cathy_Wilkins) ;
Cat (white) ; CATA ; CT5_M;;;;
Cat (yellow); CATB ; CT4_M;;;;
Chai; CHAI ; CHA_M; Cutscene ; N/A; [Chai ](http://shenmue.neoseeker.com/wiki/Chai);
 Charlie Grant; CHRL ; BIK_L;Cutscenes ; Tatoo Parlor ; [Charlie Grant ](http://shenmue.neoseeker.com/wiki/Charlie_Grant) ;
 Chen Gui Zhang ; KISY ; KIS_M;Harbor; Old Warehouse #8 ; [Chen Gui Zhang ](http://shenmue.neoseeker.com/wiki/Guizhang_Chen) ;
Daisuke Joujima ;; NVP_S;70 Man Battle ;Mad Angels; [Daisuke Joujima ](http://shenmue.neoseeker.com/wiki/Daisuke_Joujima) ;
Daisuke Ono ;; CVB_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Dick Philips; DICK ; GIA_L; Dobuita;Drunk Wanderer; [Dick Philips](http://shenmue.neoseeker.com/wiki/Dick_Philips) ;
Dog (brown) ; DOGA ; DG2_M;;;;
Dog (white) ; DOGB ; DG3_M;;;;
 Eiji Tonomura;; BTO_L;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Eiko Kusano ; EIKK ; HPX_L; Dobuita;Residence ; [Eiko Kusano ](http://shenmue.neoseeker.com/wiki/Eiko_Kusano) ;
 Eri Tajima ; TJMA ; RFD_L; Dobuita;Walking Around; [Eri Tajima ](http://shenmue.neoseeker.com/wiki/Eri_Tajima);
 Etsuko Sekine; ETKO ; JOJ_M; Dobuita; Asia Travel Co.; [Etsuko Sekine ](http://shenmue.neoseeker.com/wiki/Etsuko_Sekine) ;
 Fumihiko Hotei ;; NVH_S; Dobuita;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Fumio Ebina ;; CVP_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
Fusako Kondo; KOND ; X77_L; Sakuragaoka;Gossip Outside Phone Booth; [Fusako Kondo ](http://shenmue.neoseeker.com/wiki/Fusako_Kondo) ;
 Fusayo Mishima ; MISM ; KYF_L; Sakuragaoka;Residence ; [Fusayo Mishima ](http://shenmue.neoseeker.com/wiki/Fusayo_Mishima) ;
Genzo Todaka; YJJI ; YEF_L; Dobuita;Residence ; [Genzo Todaka](http://shenmue.neoseeker.com/wiki/Genzo_Todaka) ;
Gichi Imachi;; NVQ_S;70 Man Battle ;Mad Angels; [Gichi Imachi ](http://shenmue.neoseeker.com/wiki/Gichi_Imachi) ;
 Gilbert Flakes ; GJHM ; HJW_L; Dobuita;MJQ Jazz Bar Pool ; [Gilbert Flakes ](http://shenmue.neoseeker.com/wiki/Gilbert_Flakes) ;
Goro Mihashi; GORO ; KMB_L;Harbor; Yo Bro!; [Goro Mihashi ](http://shenmue.neoseeker.com/wiki/Goro_Mihashi) ;
Goro Ono; ONO_ ; ONO_L; Dobuita; Knocking Motorcycle Shop ; [Goro Ono ](http://shenmue.neoseeker.com/wiki/Goro_Ono);
 Goshi Uchiyama ;; NVL_S;70 Man Battle ;Mad Angels; [Goshi Uchiyama ](http://shenmue.neoseeker.com/wiki/Goshi_Uchiyama) ;
Hajime Sato Jin ;; CVZ_S;70 Man Battle ;Mad Angels;[Mad Angels](http://shenmue.neoseeker.com/wiki/Mad_Angels);
 Harry Thompson ; HARY ; GIE_L;Harbor;Mad Angels; [Harry Thompson ](http://shenmue.neoseeker.com/wiki/Harry_Thompson) ;
