NAME;ID;LOCATION;APPERANCE;ENTRY POINTS
Abe Store Candy Shop ;JABE ;Sakuragaoka ;SCENE 01 ; 
Ajiichi Chinese Restaurant ;DCHA ;Dobuita ;SCENE 01 ; 
Alpha Trading Office ;MFSY --> ALPHA (IPAC) ;Harbor ;SCENE 03 ;N/A Sub IPAC Data for Harbor 
Antique Shop ;DKTY ;Dobuita ;SCENE 01 ; 
Asia Travel Company ;ARAR ;Dobuita ;SCENE 01 ;ALL Ticket Cutscene 
Asia Travel Company ;DAZA ;Dobuita ;SCENE 01 ;Unknown duplicate 
Bar Linda ;DSLI ;Dobuita ;SCENE 01 ; 
Bar Yokosuka ;DBYO ;Dobuita ;SCENE 01 ; 
Bob's Pizzeria ;DPIZ ;Dobuita ;SCENE 01 ; 
Daisangen Mahjong Parlor ;DMAJ ;Dobuita ;SCENE 01 ;00 = Normal Entry 
Dobuita ;D000 ;Dobuita ;SCENE 01 ;00 = Bus; 01 = Road by Nagai Industries; 02 = Road by You Arcade 
Global Travel Agency ;DSKI ;Dobuita ;SCENE 01 ; 
Harbor - (70 Man Battle Area) ;MFBT ;Harbor ;SCENE 03 ;99 - 70 Man Battle 
Harbor Cafeteria ;MFSY --> SHOKUDO (IPAC) ;Harbor ;SCENE 03 ;N/A Sub IPAC Data for Harbor 
Harbor (Fight Scene With Chai + Ending) ;MEND ;Harbor ;SCENE 03 ; 
Harbor (Forklift Race + 1st Day of Job) ;MA00 ;Harbor ;SCENE 02 ;99 - Forklift Race 
Harbor Lounge ;MKYU ;Harbor ;SCENE 02 ; 
Harbor - Mad Angels on Forklift Box Ambush Cutscene ;M3FB ;Harbor ;SCENE 03 ;01 - Guy on Box Cutscene 
Harbor (Main Playable Area) ;MFSY ;Harbor ;SCENE 02 ;99 = Floating Above Ocean 
Harbor - Shadow Step Cutscene ;MC5Q ;Harbor ;SCENE 03 ;01 - Black Screen 
Hazuki Residence Basement ;YDB1 ;Hazuki Residence ;SCENE 01 ; 
Hazuki Residence Exterior ;JHD0 ;Hazuki Residence ;SCENE 01 ; 
Hazuki Residence Exterior ;YDMA ;Yamanose ;SCENE 03 ;00 = Ryo leaves Residence with backpack (ending) 
Hazuki Residence Exterior ;MSBS ;Yamanose ;SCENE 03 ;00 = Scene with Ryo praying in Dojo, sees Iwao with Sword. Then goes onto random cutscenes 
Hazuki Residence Exterior ;BETD ;Yamanose ;SCENE 01 ;Bad Ending (Disc 3) 
Hazuki Residence Interior ;JOMO ;Hazuki Residence ;SCENE 01 ; 
Hazuki Residence - Intro cutscenes ;OP00 ;Cutscene ;SCENE 01 ; 
Heartbeats Bar ;DBHB ;Dobuita ;SCENE 01 ; 
Heartbeats Bar ;DHQB ;Dobuita ;SCENE 01 ;Unknown duplicate 
Heartbeats Bar Exterior Alley QTE ;YQ14 ;Dobuita ;SCENE01 ; 
Lapis Fortune Teller ;DURN ;Dobuita ;SCENE 01 ; 
Liu's Barber and Hair Salon ;DRHT ;Dobuita ;SCENE 01 ; 
Maeda Barber Shop ;DTKY ;Dobuita ;SCENE 01 ; 
Manpukuken Ramen ;DRME ;Dobuita ;SCENE 01 ; 
MJQ Jazz Bar ;DJAZ ;Dobuita ;SCENE 01 ; 
Nagai Industries ;DYKZ ;Dobuita ;SCENE 01 ; 
Nana's Karaoke Bar ;DKPA ;Dobuita ;SCENE 01 ; 
New Yokosuka Harbor ;TERY ;Harbor ;SCENE 03 ;Unknown duplicate, possibly related to the bike part 
Old Warehouse District ;MKSG ;Harbor ;SCENE 02 ; 
Old Warehouse District (BETA 0.4) ;MK99 ;Harbor (BETA 0.4) ;SCENE 02 (BETA) ; 
Russiya China Shop ;TOKI ;Dobuita ;SCENE 01 ;Unknown duplicate 
Russiya China Shop ;DRSA ;Dobuita ;SCENE 01 ; 
Sakuragaoka ;JD00 ;Sakuragaoka ;SCENE 01 ; 
Sakuragaoka ;DNOZ ;Sakuragaoka ;SCENE 01 ;Unknown duplicate 
Sakuragaoka (BETA 0.4) ;JD99 ;Sakuragaoka (BETA 0.4) ;SCENE 01 (BETA) ; 
Slot House ;DSLT ;Dobuita ;SCENE 01 ; 
Takara Sushi ;DSUS ;Dobuita ;SCENE 01 ; 
Tattoo Parlor ;TATQ ;Dobuita ;SCENE 01 ; 
Tomato Convenience Store ;DCBN ;Dobuita ;SCENE 01 ; 
UNKNOWN (Cutscene?) ;MBQC ;Unknown ;SCENE 03 ;01 - Crashes with Black Screen 
UNKNOWN (Cutscene?) ;MB9Q ;Unknown ;SCENE 03 ;01 - Crashes with Black Screen 
UNKNOWN (Cutscene?) ;MC5Q ;Unknown ;SCENE 03 ;01 - Crashes with Black Screen 
Warehouse No. 8 ;MO99 ;Harbor ;SCENE 01 ;Unknown duplicate 
Warehouse No. 8 ;MS08 ;Harbor ;SCENE 01 ; 
Warehouse No. 8 ;MS8A ;Harbor ;SCENE 02 ;Unknown duplicate 
Warehouse No. 8 ;MS8S ;Harbor ;SCENE 02 ;Unknown duplicate 
Yamaji Soba Noodles ;DSBA ;Dobuita ;SCENE 01 ; 
Yamanose ;JU00 ;Yamanose ;SCENE 01 ; 
Yamanose (BETA 0.4) ;JU99 ;Yamanose (BETA 0.4) ;SCENE 01 (BETA) ; 
YOU Arcade ;DGCT ;Dobuita ;SCENE 01 ; 
YOU Arcade ;GMCT ;Dobuita ;SCENE 02 ;Unknown duplicate
